"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Hot Foods","PIZZA BOAT BILTONG",12.8490125,12.307842750000002,54.99,74.26073983906166,
"Springbok Superspar","Hot Foods","CHIKKA STRIPS  CHEESY ",97.43421991701244,98.80456431535269,199.99,43.18453474540948,
"Springbok Superspar","Hot Foods","PLATTER SPAR ",263.6173219180412,256.06912638378793,500.0,41.10410093172877,
"Springbok Superspar","Hot Foods","COMBO 3X CHEESY STRIPS & CHIPS",17.809334978100505,15.692475344882434,30.0,39.84551117795068,
"Springbok Superspar","Hot Foods","CHIKKA BITES",90.78394214876032,92.02128099173554,180.0,41.20862603305785,
"Springbok Superspar","Hot Foods","PLATTER VALENTINE ",108.80382122844861,107.0757464959928,179.99,31.586694555035443,
"Springbok Superspar","Hot Foods","PLATTER SPAR ",256.06912638378793,256.5108563507301,500.0,41.00250303933208,
"Springbok Superspar","Hot Foods","PLATTER MINI MUNCHIE",160.79185043743183,164.44941741312263,320.0,40.90099061715906,
"Springbok Superspar","Hot Foods","PLATTER HOT",261.8540435094715,253.89413097668566,460.0,36.52646725582859,
"Springbok Superspar","Hot Foods","COMBO 6BITES & SAUCE",13.843111909090908,12.027072681818181,20.95,33.98026928834889,
"Springbok Superspar","Hot Foods","SNACK BOX ",31.6876907452244,27.24072284112063,59.99,47.77991120638653,
"Springbok Superspar","Hot Foods","FISH VISMEEL ",19.32965984848485,19.71625304545455,0.0,0,
"Springbok Superspar","Hot Foods","FISH BATTERED HAKE ",127.55465864902075,128.81229594110528,229.99,35.59105164038826,
"Springbok Superspar","Hot Foods","FISH HAKE BITES",122.62281675419116,123.05614270733523,244.99,42.236595733117476,
"Springbok Superspar","Hot Foods","PANGASIUS FILLETS",231.04219740375427,235.1423999510442,219.99,-22.920932744079654,
"Springbok Superspar","Hot Foods","FISH SNOEK ",104.45808904802708,104.2176126651634,209.99,42.92573238490505,
"Springbok Superspar","Hot Foods","FISH GEBAKTE STOKVIS",125.8737476171258,126.1788291048796,224.99,35.50573204559691,
"Springbok Superspar","Hot Foods","FISH BABY HAKE",43.09313915323762,42.9067293996117,109.99,55.13888643553646,
"Springbok Superspar","Hot Foods","FISH VISMENGSEL",17.909233891425675,18.26741856925419,0.0,0,
"Springbok Superspar","Hot Foods","PANGASIUS FILLETS",235.1423999510442,235.16731006727505,219.99,-22.933954533099822,
"Springbok Superspar","Hot Foods","FISH GEBAKTE STOKVIS",126.1788291048796,126.2484192708577,224.99,35.470162157657526,
"Springbok Superspar","Hot Foods","FISH BATTER",20.36227166042447,20.76951709363296,0.0,0,
"Springbok Superspar","Hot Foods","FISH BATTERED HAKE ",128.81229594110528,128.99290043757168,229.99,35.50074546579964,
"Springbok Superspar","Hot Foods","FISH HAKE BITES",123.05614270733523,123.20430741526434,244.99,42.16704619472061,
"Springbok Superspar","Hot Foods","FISH SNOEK ",104.2176126651634,104.24807462356739,209.99,42.90905004185795,
"Springbok Superspar","Hot Foods","FISH BABY HAKE",42.9067293996117,42.93965668280892,109.99,55.10445932791139,
"Springbok Superspar","Hot Foods","ONTBYT ",11.70253774834437,10.750124503311259,21.99,43.7806131022831,
"Springbok Superspar","Hot Foods","STEW LAMB BREYANI",61.19678905791933,57.96801683907773,114.99,42.026942025446225,
